wavelength,emission_minus_background,calibrated_emission
639.405250870849,2429,3080.482643855965
639.953146671111,2255,2853.2253542536473
640.501030011274,2419,3068.515337004509
641.048900891339,2286,2906.0697888282693
641.596759311305,2184,2777.4170701714384
642.144605271171,2153,2749.4804168580063
642.692438770939,2168,2765.7555894782263
643.240259810608,2136,2726.8779686277603
643.788068390178,2128,2724.0335792422134
644.335864509649,1963,2509.241841442924
644.883648169022,1926,2465.7405451697873
645.431419368295,1850,2374.4411142258236
645.97917810747,1836,2357.612663383279
646.526924386545,1837,2363.3748764345255
647.074658205522,1827,2354.793488243946
647.6223795644,1758,2264.510299415002
648.170088463179,1693,2182.8449820279266
648.717784901859,1635,2110.9919248855376
649.26546888044,1618,2090.77654189656
649.813140398922,1638,2117.2960324589344
650.360799457306,1525,1971.6593986412013
650.90844605559,1444,1871.2717067697427
651.456080193776,1536,1990.4128421298278
652.003701871863,1412,1834.7308766121039
652.55131108985,1341,1745.094651308206
653.098907847739,1394,1814.9728825989255
653.646492145529,1262,1646.6246953599498
654.194063983221,1303,1701.3805448632193
654.741623360813,1291,1691.8872188502778
655.289170278306,1255,1646.1476681098907
655.836704735701,1208,1585.4029790525371
656.384226732996,1223,1606.0440417128914
656.931736270193,1156,1515.242399320251
657.479233347291,1134,1487.654033311166
658.02671796429,1136,1493.028269228631
658.57419012119,1063,1398.7290690930859
659.121649817991,971,1280.0417629589995
659.669097054693,991,1309.9615061250586
660.216531831296,940,1242.641039741463
660.763954147801,1024,1355.6262563649536
661.311364004207,874,1156.2708625562473
661.858761400513,981,1296.8351689165327
662.406146336721,889,1176.8369875384092
662.95351881283,857,1135.8738810007337
663.50087882884,771,1025.8272198250033
664.048226384751,829,1106.2550005516591
664.595561480563,779,1042.2558356176282
665.142884116277,753,1006.5631994228268
665.690194291891,706,942.850274711945
666.237492007407,664,887.292065761557
666.784777262824,669,893.5124515428801
667.332050058141,646,865.115074078643
667.87931039336,538,722.1098813623539
668.42655826848,602,809.5060902220118
668.973793683502,600,810.5098539542281
669.521016638424,571,773.1738475397599
670.068227133247,473,642.3393465615306
670.615425167972,533,725.6228939989402
671.162610742597,430,585.7793866140764
671.709783857124,457,623.7973505478867
672.256944511552,398,543.2399638446062
672.80409270588,333,455.4708532648817
673.351228440111,401,550.2081254958624
673.898351714242,347,477.095398872531
674.445462528274,376,518.9980891403526
674.992560882207,319,441.21543483419754
675.539646776042,239,330.77126677008926
676.086720209777,284,393.60046005383606
676.633781183414,211,293.1578263086996
677.180829696952,203,282.2411663198425
677.72786575039,232,323.5837546512779
678.27488934373,184,257.4666083128274
678.821900476971,140,196.0947531655014
679.368899150114,183,256.72254072125503
679.915885363157,149,209.27032835875565
680.462859116101,69,97.11083124269115
681.009820408947,189,266.6676261286863
681.556769241694,114,161.16921296574193
682.103705614341,55,77.97845089232275
682.65062952689,56,79.47831777478712
683.19754097934,-2,-2.84293714658312
683.744439971691,19,27.09893451748464
684.291326503944,5,7.14648507871555
684.838200576097,15,21.478425768513752
685.385062188151,-3,-4.3041518344484695
685.931911340107,-47,-67.66638440810004
686.478748031964,-67,-96.57221898894134
687.025572263721,-76,-109.92329795272904
687.57238403538,-26,-37.69811803258436
688.11918334694,-102,-147.7123792474344
688.665970198401,-74,-107.47844545856846
689.212744589763,-116,-168.78358880893612
689.759506521027,-134,-195.64606665427425
690.306255992191,-131,-191.73017483211112
690.852993003257,-149,-218.2963705414731
